id,Vtuber名,YoutubeのURL,曲名,ジャンル（任意）,公開年（任意）,所属（任意）,MIX者名（任意）,カバー元 アーティスト名（任意）,X（旧Twitter）のURL（任意）,YoutubeチャンネルURL（任意）,その他・説明（任意）,オリジナル曲は？,ローマ字,ハングル,タイムスタンプ
1,健(たけ)⭐️🎹,https://www.youtube.com/watch?v=TiLP-XPIxMs,STAY GOLD,メロコア,2024,個人,健(たけ)⭐️🎹,Hi-STANDARD,https://x.com/take8_jp,https://www.youtube.com/@take8_jp,"ギター弾いて歌ってみました🎸
歌詞わかんなくてごにょごにょ言ってるの許して🥺",ある,Ken⭐️🎹,켄⭐️🎹,2024/10/01 23:24:05
2,健(たけ)⭐️🎹,https://www.youtube.com/watch?v=UZHY1kpKwaM,DEAR MY FRIEND,メロコア,2024,個人,健(たけ)⭐️🎹,Hi-STANDARD,https://x.com/take8_jp,https://www.youtube.com/@take8_jp,ギター弾いて歌ってみました🎸,ある,Ken⭐️🎹,켄⭐️🎹,2024/10/02 0:43:45
